,price,with_pool,nb_bedrooms,nb_bathrooms,nb_garages,nb_garden,nb_parking
2902,5985000.0,1,6.0,4.0,6.0,0.0,3.0
18442,2350000.0,0,3.0,1.0,0.0,0.0,2.0
1677,700000.0,0,3.0,1.0,0.0,0.0,0.0
12365,1550000.0,0,2.0,2.0,0.0,0.0,1.0
20143,985000.0,1,2.0,1.0,4.0,0.0,0.0
5762,480000.0,0,2.0,1.0,0.0,0.0,1.0
12727,1930000.0,0,0.0,1.0,4.0,0.0,0.0
18251,1320000.0,0,3.0,2.0,0.0,0.0,1.0
12830,598000.0,0,2.0,1.0,0.0,0.0,1.0
817,1390000.0,0,3.0,2.0,0.0,0.0,0.0
17751,2999000.0,1,4.0,2.0,4.0,0.0,0.0
